測定順,ラベル,入力ファイル,8ビット組位置,受信順8ビット,MSB十進数,MSB十六進数,LSB十進数,LSB十六進数
7,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,20,11110000,240,0xF0,15,0x0F
7,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,21,00001111,15,0x0F,240,0xF0
7,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,24,00001000,8,0x08,16,0x10
7,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,25,11110111,247,0xF7,239,0xEF
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,12,01000100,68,0x44,34,0x22
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,13,10111011,187,0xBB,221,0xDD
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,18,00000011,3,0x03,192,0xC0
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,19,11111100,252,0xFC,63,0x3F
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,20,01001000,72,0x48,18,0x12
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,21,10110111,183,0xB7,237,0xED
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,24,00001000,8,0x08,16,0x10
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,25,11110111,247,0xF7,239,0xEF
9,7_bits,タイマー\切りタイマー_バイナリ\7_bits.txt,12,01000100,68,0x44,34,0x22
9,7_bits,タイマー\切りタイマー_バイナリ\7_bits.txt,13,10111011,187,0xBB,221,0xDD
9,7_bits,タイマー\切りタイマー_バイナリ\7_bits.txt,18,00000001,1,0x01,128,0x80
9,7_bits,タイマー\切りタイマー_バイナリ\7_bits.txt,19,11111110,254,0xFE,127,0x7F
9,7_bits,タイマー\切りタイマー_バイナリ\7_bits.txt,20,01101000,104,0x68,22,0x16
9,7_bits,タイマー\切りタイマー_バイナリ\7_bits.txt,21,10010111,151,0x97,233,0xE9
9,7_bits,タイマー\切りタイマー_バイナリ\7_bits.txt,24,00001000,8,0x08,16,0x10
9,7_bits,タイマー\切りタイマー_バイナリ\7_bits.txt,25,11110111,247,0xF7,239,0xEF
10,8_bits,タイマー\切りタイマー_バイナリ\8_bits.txt,12,01000100,68,0x44,34,0x22
10,8_bits,タイマー\切りタイマー_バイナリ\8_bits.txt,13,10111011,187,0xBB,221,0xDD
10,8_bits,タイマー\切りタイマー_バイナリ\8_bits.txt,18,00000010,2,0x02,64,0x40
10,8_bits,タイマー\切りタイマー_バイナリ\8_bits.txt,19,11111101,253,0xFD,191,0xBF
10,8_bits,タイマー\切りタイマー_バイナリ\8_bits.txt,20,01011000,88,0x58,26,0x1A
10,8_bits,タイマー\切りタイマー_バイナリ\8_bits.txt,21,10100111,167,0xA7,229,0xE5
10,8_bits,タイマー\切りタイマー_バイナリ\8_bits.txt,24,00001000,8,0x08,16,0x10
10,8_bits,タイマー\切りタイマー_バイナリ\8_bits.txt,25,11110111,247,0xF7,239,0xEF
11,9_bits,タイマー\切りタイマー_バイナリ\9_bits.txt,12,01000100,68,0x44,34,0x22
11,9_bits,タイマー\切りタイマー_バイナリ\9_bits.txt,13,10111011,187,0xBB,221,0xDD
11,9_bits,タイマー\切りタイマー_バイナリ\9_bits.txt,18,00000000,0,0x00,0,0x00
11,9_bits,タイマー\切りタイマー_バイナリ\9_bits.txt,19,11111111,255,0xFF,255,0xFF
11,9_bits,タイマー\切りタイマー_バイナリ\9_bits.txt,20,01111000,120,0x78,30,0x1E
11,9_bits,タイマー\切りタイマー_バイナリ\9_bits.txt,21,10000111,135,0x87,225,0xE1
11,9_bits,タイマー\切りタイマー_バイナリ\9_bits.txt,24,00001000,8,0x08,16,0x10
11,9_bits,タイマー\切りタイマー_バイナリ\9_bits.txt,25,11110111,247,0xF7,239,0xEF
