No,風速,対応するライブラリ値,対象モード,設定タイミング(停止中予約/運転中変更),その他設定状態(温度・風向・セーブ等),生データ,変換後ビット列,備考
1,最小,1,冷房/暖房/除湿/送風,運転中変更,,,,
2,弱,2,冷房/暖房/除湿/送風,運転中変更,,,,
3,中,3,冷房/暖房/除湿/送風,運転中変更,,,,
4,強,4,冷房/暖房/除湿/送風,運転中変更,,,,
5,自動,5,冷房/暖房/除湿/送風,運転中変更,,,,取説記載の「自動」に相当
6,最大,6,冷房/暖房/除湿/送風,運転中変更,,,,除湿時は値2(弱と同じ)になる可能性、要実測確認
