設定温度,設定タイミング(停止中予約/運転中変更),その他設定状態(風速・風向・セーブ等),上げて到達_生データ,上げて到達_ビット列,下げて到達_生データ,下げて到達_ビット列
16℃,運転中変更,,,,,
17℃,運転中変更,,,,,
18℃,運転中変更,,,,,
19℃,運転中変更,,,,,
20℃,運転中変更,,,,,
21℃,運転中変更,,,,,
22℃,運転中変更,,,,,
23℃,運転中変更,,,,,
24℃,運転中変更,,,,,
25℃,運転中変更,,,,,
26℃,運転中変更,,,,,
27℃,運転中変更,,,,,
28℃,運転中変更,,,,,
29℃,運転中変更,,,,,
30℃,運転中変更,,,,,
31℃,運転中変更,,,,,
32℃,運転中変更,,,,,
