設定温度,上げて到達_生データ,上げて到達_ビット列,下げて到達_生データ,下げて到達_ビット列
16℃,,,,
17℃,,,,
18℃,,,,
19℃,,,,
20℃,,,,
21℃,,,,
22℃,,,,
23℃,,,,
24℃,,,,
25℃,,,,
26℃,,,,
27℃,,,,
28℃,,,,
29℃,,,,
30℃,,,,
31℃,,,,
32℃,,,,
